step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
202,19522,202,0.5122621798083855,0.0,0.6428571428571429,,,
203,19739,203,1.8412440898986548,0.0,0.5317073170731708,,,
204,19812,204,0.731195499916052,0.0,0.7454545454545455,,,
205,19893,205,1.8682698781071,0.0,0.4507042253521127,,,
206,19982,206,1.168493722943081,0.0,0.6,,,
207,20135,207,1.1214316968044786,0.0,0.7214285714285714,,,
208,20208,208,1.3440329236714001,0.0,0.5833333333333334,,,
209,20313,209,1.3284651286838651,0.0,0.6808510638297872,2.067913768854225,0.0,0.34615384615384615
210,20386,210,1.5314368188602383,0.0,0.5306122448979592,,,
211,20499,211,0.9870617780549611,0.0,0.6881720430107527,,,
212,20532,212,1.0401124149417593,0.0,0.6111111111111112,,,
213,20677,213,1.4192468156534284,0.0,0.5934959349593496,,,
214,20806,214,1.5785975115825568,0.0,0.5675675675675675,,,
215,20879,215,1.7996315863106649,0.0,0.5161290322580645,,,
216,20952,216,0.8963570537281814,0.0,0.7586206896551724,,,
217,21065,217,1.536938769300194,0.0,0.64,1.6641864378885658,0.0,0.375
218,21226,218,1.2837723315451404,0.0,0.6973684210526315,,,
219,21299,219,1.179454262184928,0.0,0.6428571428571429,,,
220,21420,220,1.190139258038713,0.0,0.6442307692307693,,,
221,21493,221,1.5487734391336783,0.0,0.625,,,
222,21574,222,0.857791843357548,0.0,0.7313432835820896,,,
223,21719,223,1.3402108290863144,0.0,0.5213675213675214,,,
224,21800,224,1.3657558529413765,0.0,0.5538461538461539,,,
225,21857,225,1.2442464295499407,0.0,0.68,1.335140797594407,0.0,0.2727272727272727
226,21994,226,1.5430746880651498,0.0,0.525,,,
227,22091,227,1.3494755852908704,0.0,0.5256410256410257,,,
228,22180,228,1.2047341436048604,0.0,0.6,,,
229,22285,229,1.7476835631605612,0.0,0.47619047619047616,,,
230,22390,230,0.6111739423547856,0.0,0.7272727272727273,,,
231,22455,231,1.4640759074655443,0.0,0.52,,,
232,22672,232,1.785083416364536,0.0,0.5255102040816326,,,
233,22761,233,1.3486401868619942,0.0,0.463768115942029,1.9804713537662348,0.0,0.47761194029850745
234,22946,234,1.6491596009001508,0.0,0.5476190476190477,,,
235,23027,235,1.4787501248640842,0.0,0.5797101449275363,,,
236,23084,236,1.2611183494347173,0.0,0.4722222222222222,,,
237,23181,237,1.5839095030517651,0.0,0.6,,,
238,23230,238,0.6106998930386665,0.0,0.64,,,
239,23327,239,1.341135542453339,0.0,0.5571428571428572,,,
240,23400,240,1.642016962972961,0.0,0.5172413793103449,,,
241,23449,241,1.1208186338087156,0.0,0.5862068965517241,2.126936378716865,0.0,0.4107142857142857
242,23522,242,1.3908046059602444,0.0,0.5967741935483871,,,
243,23563,243,0.39308687424708755,0.0,0.85,,,
244,23652,244,1.3908880633714458,0.0,0.5394736842105263,,,
245,23725,245,1.856429840244214,0.0,0.43548387096774194,,,
246,23870,246,1.6299687300456756,0.0,0.6014492753623188,,,
247,23927,247,0.7161679195068689,0.0,0.6578947368421053,,,
248,24112,248,1.0058743046747476,0.0,0.7,,,
249,24185,249,1.138761920356227,0.0,0.6229508196721312,2.3635891378257448,0.0,0.325
250,24234,250,1.5301795701137808,0.0,0.6,,,
251,24451,251,0.9806939050783317,0.0,0.7156862745098039,,,
252,24572,252,1.2537883180116731,0.0,0.6875,,,
253,24693,253,1.288892848009383,0.0,0.5779816513761468,,,
254,24742,254,0.522790020330555,0.0,0.7586206896551724,,,
255,24815,255,1.1717984250567273,0.0,0.6792452830188679,,,
256,24920,256,1.2552711494449362,0.0,0.5384615384615384,,,
257,25033,257,1.2586508414414739,0.0,0.6262626262626263,1.6845536960162488,0.0,0.4418604651162791
258,25058,258,0.39621011908263126,0.0,0.5454545454545454,,,
259,25251,259,1.5255893009073769,0.0,0.518796992481203,,,
260,25324,260,1.3102894095324316,0.0,0.6,,,
261,25533,261,1.2403321733538692,0.0,0.6373626373626373,,,
262,25662,262,2.015960524849944,0.0,0.4915254237288136,,,
263,25903,263,1.5610717396941718,0.0,0.5772727272727273,,,
264,25968,264,1.934588746793952,0.0,0.4444444444444444,,,
265,26017,265,1.0140220510492386,0.0,0.625,2.159828095904726,0.0,0.45
266,26146,266,1.3465517234099693,0.0,0.5982905982905983,,,
267,26235,267,1.2110975043394894,0.0,0.6842105263157895,,,
268,26356,268,1.374541507381852,0.0,0.5619047619047619,,,
269,26413,269,1.070297510272025,0.0,0.6590909090909091,,,
270,26518,270,1.6158275994885256,0.0,0.4878048780487805,,,
271,26687,271,1.491241018847847,0.0,0.5844155844155844,,,
272,26752,272,1.8902202941013355,0.0,0.543859649122807,,,
273,26849,273,1.7983735761146058,0.0,0.47560975609756095,2.923885817167659,0.0,0.16666666666666666
274,26938,274,1.0809973601172052,0.0,0.6142857142857143,,,
275,27059,275,1.4413445127938327,0.0,0.5596330275229358,,,
276,27180,276,1.5642972997795563,0.0,0.5596330275229358,,,
277,27213,277,0.27078927300337,0.0,0.8571428571428571,,,
278,27302,278,0.8853755104826672,0.0,0.71875,,,
279,27415,279,0.7985266876295704,0.0,0.7241379310344828,,,
280,27528,280,1.753098592754829,0.0,0.4782608695652174,,,
281,27761,281,1.720069632191183,0.0,0.54337899543379,1.8327879407248244,0.0,0.5675675675675675
282,27874,282,1.777829123566584,0.0,0.5050505050505051,,,
283,27955,283,1.4530814438637536,0.0,0.5538461538461539,,,
